
Press enter to stop benchmark
Last 9252.16835156249, now 10175.638725585926
Last 10175.638725585926, now 11280.085237304693
Last 19672.0813359375, now 20028.54411621091
Last 11280.085237304693, now 10658.526764648432
Last 10658.526764648432, now 10666.354430664049
Last 20028.54411621091, now 21225.61813085935
Last 10666.354430664049, now 10663.932326171862
Last 10663.932326171862, now 10649.782383789061
Last 21225.61813085935, now 21309.221690429724
Last 10649.782383789061, now 10811.718265624988
Last 10811.718265624988, now 12293.551157226559
Last 21309.221690429724, now 16483.802504882795
Last 12293.551157226559, now 12340.468619140642
Last 16483.802504882795, now 16259.694548828125
Last 12340.468619140642, now 12190.451634765615
Last 16259.694548828125, now 16438.492843750002
Last 12190.451634765615, now 12163.89391210935
Last 12163.89391210935, now 12269.978142578144
Last 16438.492843750002, now 16369.34721777343
Last 12269.978142578144, now 13380.77078710934
Last 16369.34721777343, now 14536.5875917969
Last 13380.77078710934, now 13615.248694335936
Last 14536.5875917969, now 14372.712606445304
Last 13615.248694335936, now 13474.36385644531
Last 14372.712606445304, now 14709.106943359366
Last 13474.36385644531, now 13312.69662109374
Last 14709.106943359366, now 15460.76311425781
Last 13312.69662109374, now 12450.065116210939
Last 15460.76311425781, now 16653.122525390612
Last 12450.065116210939, now 12223.565419921868
Last 12223.565419921868, now 12323.211862304683
Last 16653.122525390612, now 16231.825930664083
Last 12323.211862304683, now 12682.649848632824
Last 16231.825930664083, now 16174.610359374998
Last 12682.649848632824, now 12557.147120117179
Last 16174.610359374998, now 16731.076343750035
Last 12557.147120117179, now 12321.876506835944
Last 12321.876506835944, now 12158.240539062483
Last 16731.076343750035, now 17059.361443359376
Last 12158.240539062483, now 12135.382825195295
Last 17059.361443359376, now 16985.324758789044
Last 12135.382825195295, now 12204.077844726566
Last 12204.077844726566, now 12196.891170898445
Last 16985.324758789044, now 16988.899497070313
Last 12196.891170898445, now 12139.304592773427
Last 16988.899497070313, now 17006.38902636718
Last 12139.304592773427, now 12082.581323242179
Last 17006.38902636718, now 16934.97941894532
Last 12082.581323242179, now 12232.334697265622
Last 12232.334697265622, now 12029.861111328133
Last 16934.97941894532, now 17246.92745312502
Last 12029.861111328133, now 12063.680831054688
Last 17246.92745312502, now 17232.476250976575
Last 12063.680831054688, now 11955.330883789075
Last 11955.330883789075, now 11986.126670898435
Last 17232.476250976575, now 17368.63665039064
Last 11986.126670898435, now 11888.47855468751
Last 17368.63665039064, now 17466.04605859376
Last 11888.47855468751, now 11922.796140624992
Last 11922.796140624992, now 11967.481529296876
Last 17466.04605859376, now 17419.329163085924
Last 11967.481529296876, now 12008.364166015615
Last 17419.329163085924, now 17293.467161132823
Last 12008.364166015615, now 11992.909105468754
Last 11992.909105468754, now 11986.53877246094
Last 17293.467161132823, now 17390.05342968749
Last 11986.53877246094, now 11873.142132812505
Last 17390.05342968749, now 17511.549145507834
Last 11873.142132812505, now 11960.446962890623
Last 17511.549145507834, now 17178.967899414078
Last 11960.446962890623, now 12072.367828124996
Last 12072.367828124996, now 12085.29361816407
Last 17178.967899414078, now 17188.649078125025
Last 12085.29361816407, now 11971.054624023445
Last 17188.649078125025, now 17221.093969726568
Last 11971.054624023445, now 12057.714851562496
Last 12057.714851562496, now 12193.883534179693
Last 17221.093969726568, now 16888.171166015643
Last 12193.883534179693, now 12358.574154296875
Last 16888.171166015643, now 16557.02072363283
Last 12358.574154296875, now 12407.348862304681
Last 16557.02072363283, now 16415.844223632816
Last 12407.348862304681, now 12453.057456054694
Last 12453.057456054694, now 12472.27890429687
Last 16415.844223632816, now 16322.75519726562
Last 12472.27890429687, now 12438.074088867195
Last 16322.75519726562, now 16497.505700195314
Last 12438.074088867195, now 12307.811518554685
Last 16497.505700195314, now 16577.18889453125
Last 12307.811518554685, now 12409.481430664053
Last 12409.481430664053, now 12233.232573242203
Last 16577.18889453125, now 16696.257426757795
Last 12233.232573242203, now 12531.971883789061
Last 16696.257426757795, now 16371.952666992192
Last 12531.971883789061, now 12462.161547851558
Last 16371.952666992192, now 16330.131258789052
Last 12462.161547851558, now 12441.150532226568
Last 12441.150532226568, now 12239.924094726566
Last 16330.131258789052, now 16700.381499999992
Last 12239.924094726566, now 12323.268593750014
Last 16700.381499999992, now 16488.536314453144
Last 12323.268593750014, now 12449.704074218753
Last 16488.536314453144, now 16661.492305664073
Last 12449.704074218753, now 12300.488891601546
Last 12300.488891601546, now 12358.633149414056
Last 16661.492305664073, now 16516.614167968764
Last 12358.633149414056, now 12390.936088867176
Last 16516.614167968764, now 16676.41724707031
Last 12390.936088867176, now 12095.107329101558
Last 16676.41724707031, now 17153.112858398465
Last 12095.107329101558, now 12074.030553710929
Last 12074.030553710929, now 12142.269722656249
Last 17153.112858398465, now 16929.86059667966
Last 12142.269722656249, now 12178.190715820312
Last 16929.86059667966, now 16865.302980468743
Last 12178.190715820312, now 12273.049691406251
Last 12273.049691406251, now 12298.28678515627
Last 16865.302980468743, now 16645.28938867185
Last 12298.28678515627, now 12277.855970703115
Last 16645.28938867185, now 16754.726590820326
Last 12277.855970703115, now 12173.813137695308
Last 16754.726590820326, now 16608.283332031253
Last 12173.813137695308, now 12412.65080957031
Last 12412.65080957031, now 12153.535249023445
Last 16608.283332031253, now 16884.616629882807
Last 12153.535249023445, now 12298.878828125007
Last 16884.616629882807, now 16901.84851464841
Last 12298.878828125007, now 12214.972126953155
Last 16901.84851464841, now 16898.593010742166
Last 12214.972126953155, now 12131.433313476551
Last 12131.433313476551, now 12239.987419921894
Last 16898.593010742166, now 16912.828506835955
Last 12239.987419921894, now 11986.767989257802
Last 16912.828506835955, now 17247.56042089844
Last 11986.767989257802, now 12042.855409179683
Last 12042.855409179683, now 12019.53232910156
Last 17247.56042089844, now 17155.763468750003
Last 12019.53232910156, now 12033.004716796888
Last 17155.763468750003, now 17177.770515625005
Last 12033.004716796888, now 12050.166463867197
Last 12050.166463867197, now 11946.400282226552
Last 17177.770515625005, now 17357.782922851562
Last 11946.400282226552, now 11965.969000976558
Last 17357.782922851562, now 17188.75169042967
Last 11965.969000976558, now 12096.912322265624
Last 17188.75169042967, now 16999.070509765614
Last 12096.912322265624, now 12221.777945312491
Last 12221.777945312491, now 12279.05366210939
Last 16999.070509765614, now 16753.893220703118
Last 12279.05366210939, now 11907.179366210936
