
Press enter to stop benchmark
Last 10360.60301953123, now 11530.028791015613
Last 11562.787855468734, now 12218.082618164066
Last 11530.028791015613, now 11898.480318359349
Last 12218.082618164066, now 15953.436368164066
Last 11898.480318359349, now 12266.685649414068
Last 15953.436368164066, now 14832.083472656266
Last 12266.685649414068, now 13710.412661132816
Last 14832.083472656266, now 14891.662729492164
Last 13710.412661132816, now 13068.424979492182
Last 14891.662729492164, now 15392.731137695304
Last 13068.424979492182, now 12779.76564746093
Last 12779.76564746093, now 12907.92765429688
Last 15392.731137695304, now 15155.517233398426
Last 12907.92765429688, now 13562.904207031219
Last 15155.517233398426, now 14264.151300781241
Last 13562.904207031219, now 13817.066902343762
Last 14264.151300781241, now 14010.468370117198
Last 13817.066902343762, now 14032.336998046878
Last 14010.468370117198, now 14001.065625976533
Last 14032.336998046878, now 13004.09694238281
Last 14001.065625976533, now 15364.631377929663
Last 13004.09694238281, now 13120.969374999995
Last 15364.631377929663, now 15207.627648437508
Last 13120.969374999995, now 13034.757777343746
Last 15207.627648437508, now 15249.320542968737
Last 13034.757777343746, now 13129.743008789079
Last 15249.320542968737, now 15273.628202148439
Last 13129.743008789079, now 13662.51687304687
Last 15273.628202148439, now 15257.21178417968
Last 13662.51687304687, now 13341.734929687495
Last 13341.734929687495, now 13407.741679687491
Last 15257.21178417968, now 15144.067596679679
Last 13407.741679687491, now 13436.560112304667
Last 15144.067596679679, now 14851.404886718747
Last 13436.560112304667, now 13296.442460937484
Last 14851.404886718747, now 14919.006160156252
Last 13296.442460937484, now 13462.503374999997
Last 14919.006160156252, now 14808.851894531243
Last 13462.503374999997, now 13311.02726562502
Last 14808.851894531243, now 15136.112267578128
Last 13311.02726562502, now 13252.514879882818
Last 15136.112267578128, now 14965.117443359368
Last 13252.514879882818, now 13277.963790039068
Last 14965.117443359368, now 14920.75816503907
Last 13277.963790039068, now 13351.67637792969
Last 14920.75816503907, now 14672.70001562499
Last 13351.67637792969, now 13732.635496093746
Last 14672.70001562499, now 14481.954173828122
Last 13732.635496093746, now 13762.248795898437
Last 13762.248795898437, now 13410.033679687504
Last 14481.954173828122, now 14883.719897460938
Last 13410.033679687504, now 13534.185938476563
Last 14883.719897460938, now 14755.701530273447
Last 13534.185938476563, now 13559.512153320304
Last 14755.701530273447, now 14657.267772460917
Last 13559.512153320304, now 13458.617105468744
Last 14657.267772460917, now 14847.414456054681
Last 13458.617105468744, now 13579.872632812494
Last 14847.414456054681, now 14694.703473632824
Last 13579.872632812494, now 13513.977900390628
Last 14694.703473632824, now 14765.96209667968
Last 13513.977900390628, now 13451.128268554672
Last 14765.96209667968, now 14718.993022460965
Last 13451.128268554672, now 13513.51656250001
Last 14718.993022460965, now 14629.712089843752
Last 13513.51656250001, now 13642.985541992186
Last 14629.712089843752, now 14697.726049804698
Last 13642.985541992186, now 13504.908235351564
Last 14697.726049804698, now 14845.03615527345
Last 13504.908235351564, now 13376.639401367174
Last 14845.03615527345, now 14931.969274414065
Last 13376.639401367174, now 13373.438021484382
Last 13373.438021484382, now 13277.858548828144
Last 14931.969274414065, now 15081.080216796865
Last 13277.858548828144, now 13444.523384765624
Last 15081.080216796865, now 14741.36199902344
Last 13444.523384765624, now 13509.719316406268
Last 14741.36199902344, now 14738.688886718779
Last 13509.719316406268, now 13536.316970703121
Last 14738.688886718779, now 14718.642521484378
Last 13536.316970703121, now 13549.990847656254
Last 14718.642521484378, now 14777.408918945303
Last 13549.990847656254, now 13511.053970703126
Last 14777.408918945303, now 14676.157410156262
Last 13511.053970703126, now 13605.581561523439
Last 14676.157410156262, now 14665.495657226584
Last 13605.581561523439, now 13360.73953906249
Last 14665.495657226584, now 15039.13140234376
Last 13360.73953906249, now 13314.675568359386
Last 15039.13140234376, now 14912.00834374998
Last 13314.675568359386, now 13409.207419921884
Last 14912.00834374998, now 14935.15099902343
Last 13409.207419921884, now 13383.722185546852
Last 13383.722185546852, now 13333.96158593749
Last 14935.15099902343, now 14996.249229492183
Last 13333.96158593749, now 13327.53006152343
Last 14996.249229492183, now 14920.915470703141
Last 13327.53006152343, now 13246.681165039066
Last 14920.915470703141, now 15227.312340820326
Last 13246.681165039066, now 13147.848854492187
Last 15227.312340820326, now 15214.884413085958
Last 13147.848854492187, now 13123.660219726553
Last 15214.884413085958, now 15179.573785156243
Last 13123.660219726553, now 13216.587809570306
Last 15179.573785156243, now 15157.034056640623
Last 13216.587809570306, now 13192.883451171874
Last 15157.034056640623, now 15104.568246093759
Last 13192.883451171874, now 13225.630369140636
Last 13225.630369140636, now 13211.099202148427
Last 15104.568246093759, now 15127.768166015636
Last 13211.099202148427, now 13144.866438476556
Last 15127.768166015636, now 15217.499335937504
Last 13144.866438476556, now 13241.24294824221
Last 15217.499335937504, now 15181.050828125015
Last 13241.24294824221, now 13212.645616210964
Last 15181.050828125015, now 15248.748027343772
Last 13212.645616210964, now 13285.847547851568
Last 15248.748027343772, now 15043.247387695295
Last 13285.847547851568, now 13282.991952148419
Last 15043.247387695295, now 15041.671809570322
Last 13282.991952148419, now 13265.95436132814
Last 15041.671809570322, now 14967.302597656244
Last 13265.95436132814, now 13374.33439941406
Last 13374.33439941406, now 13495.236281250032
Last 14967.302597656244, now 14850.742590820319
Last 13495.236281250032, now 13234.075299804692
Last 14850.742590820319, now 15094.973674804685
Last 13234.075299804692, now 13125.951031250006
Last 15094.973674804685, now 15235.220535156235
Last 13125.951031250006, now 13215.427326171886
Last 15235.220535156235, now 15100.361291992158
Last 13215.427326171886, now 13178.562362304696
Last 15100.361291992158, now 15055.346416992194
Last 13178.562362304696, now 13319.093973632806
Last 15055.346416992194, now 15176.535512695322
Last 13319.093973632806, now 13265.795762695288
Last 15176.535512695322, now 15017.201527343757
Last 13265.795762695288, now 13279.42233789063
Last 13279.42233789063, now 13334.86556835936
Last 15017.201527343757, now 14999.974551757812
Last 13334.86556835936, now 13241.641550781256
Last 14999.974551757812, now 15251.39778515625
Last 13241.641550781256, now 13322.563797851573
Last 15251.39778515625, now 14999.756691406255
Last 13322.563797851573, now 13162.11908789063
Last 14999.756691406255, now 15234.61656933594
Last 13162.11908789063, now 13159.405028320321
Last 15234.61656933594, now 15115.390296875
Last 13159.405028320321, now 13285.887252929679
Last 15115.390296875, now 14955.010336914065
Last 13285.887252929679, now 13363.435852539085
Last 14955.010336914065, now 15044.760036132804
Last 13363.435852539085, now 13255.495820312497
Last 13255.495820312497, now 13296.144273437529
Last 15044.760036132804, now 15021.345397460953
Last 13296.144273437529, now 13271.517418945312
Last 15021.345397460953, now 15060.29752050782
Last 13271.517418945312, now 13363.114071289054
Last 15060.29752050782, now 15028.629490234387
Last 13363.114071289054, now 13274.104640624999
Last 15028.629490234387, now 15036.732231445321
Last 13274.104640624999, now 13394.751744140614
Last 15036.732231445321, now 14871.251604492174
Last 13394.751744140614, now 13424.267737304668
Last 14871.251604492174, now 15070.702100585935
Last 13424.267737304668, now 13563.070237304677
Last 15070.702100585935, now 15073.59705273436
Last 13563.070237304677, now 13159.658357421884
Last 15073.59705273436, now 15038.196620117196
Last 13159.658357421884, now 13365.993232421877
Last 13365.993232421877, now 13085.244655273435
Last 15038.196620117196, now 15323.323027343764
Last 13085.244655273435, now 13194.895097656256
Last 15323.323027343764, now 15119.875419921862
Last 13194.895097656256, now 13428.643015625
Last 15119.875419921862, now 14984.741023437507
Last 13428.643015625, now 13205.295725585926
Last 14984.741023437507, now 15276.266551757804


Retired 3039559680 objects in 1302.25
Initial average:
  1167057.4 retire/sec
  856.9 ns / retire
