
Press enter to stop benchmark
Last 9777.804993164062, now 11224.479122070314
Last 11224.479122070314, now 11279.042719726558
Last 18436.87562695312, now 18589.153043945305
Last 11279.042719726558, now 11246.614724609373
Last 11246.614724609373, now 11383.102931640646
Last 18589.153043945305, now 18059.763930664078
Last 11383.102931640646, now 11447.575143554677
Last 18059.763930664078, now 17687.796707031237
Last 11447.575143554677, now 11401.375931640625
Last 11401.375931640625, now 11471.605003906257
Last 17687.796707031237, now 17006.081486328116
Last 17006.081486328116, now 6882.4625771484525
Last 6882.4625771484525, now 6891.40530078125
Last 6891.40530078125, now 6881.706367187509
Last 6881.706367187509, now 6894.417397460936
Last 6894.417397460936, now 6879.957029296884
Last 6879.957029296884, now 7057.230839843743
Last 7057.230839843743, now 6935.544732421876
Last 6935.544732421876, now 6907.134640624995
Last 6907.134640624995, now 6903.666756835932
Last 6903.666756835932, now 6909.726458007811
Last 6909.726458007811, now 6946.448734375006
Last 6946.448734375006, now 6918.586405273437
Last 6918.586405273437, now 6908.7144384765625
Last 6908.7144384765625, now 6905.895928710937
Last 6905.895928710937, now 6918.54931445312
Last 6918.54931445312, now 6912.837183593747
Last 6912.837183593747, now 6902.635929687517
Last 6902.635929687517, now 6926.074824218742
Last 6926.074824218742, now 6902.157338867192
Last 6902.157338867192, now 6916.661388671864
Last 6916.661388671864, now 6900.533411132807
Last 6900.533411132807, now 6911.349155273446
Last 6911.349155273446, now 6938.414795898437
Last 6938.414795898437, now 6913.999545898438
Last 6913.999545898438, now 6897.66977050781
Last 6897.66977050781, now 6920.755544921869
Last 6920.755544921869, now 6923.041913085938
Last 6923.041913085938, now 6904.455266601567
Last 6904.455266601567, now 6924.802368164056
Last 6924.802368164056, now 7159.146273437506
Last 7159.146273437506, now 7037.481641601566
Last 7037.481641601566, now 6927.21542871093
Last 6927.21542871093, now 6956.776878906252
Last 6956.776878906252, now 6925.65401269531
Last 6925.65401269531, now 6912.5856064453055
Last 6912.5856064453055, now 6969.283359375003
Last 6969.283359375003, now 6898.4106953125
Last 6898.4106953125, now 6914.730356445318
Last 6914.730356445318, now 6912.668452148437
Last 6912.668452148437, now 6904.20726367188
Last 6904.20726367188, now 6909.514402343759
Last 6909.514402343759, now 6923.715511718748
Last 6923.715511718748, now 7003.797473632809
Last 7003.797473632809, now 6971.530785156253
Last 6971.530785156253, now 6915.733227539063
Last 6915.733227539063, now 6930.355589843741
Last 6930.355589843741, now 6911.319741210938
Last 6911.319741210938, now 6920.284113281252
Last 6920.284113281252, now 6895.461697265629
Last 6895.461697265629, now 6928.104533203125
Last 6928.104533203125, now 6897.838803710939
Last 6897.838803710939, now 6918.445705078127
Last 6918.445705078127, now 6934.795645507802
Last 6934.795645507802, now 6920.332172851562
Last 6920.332172851562, now 6918.793320312501
Last 6918.793320312501, now 6890.022474609378
Last 6890.022474609378, now 6907.396670898438
Last 6907.396670898438, now 6896.624796874996
Last 6896.624796874996, now 6934.364712890618
Last 6934.364712890618, now 6906.722169921875
Last 6906.722169921875, now 6933.6953623046775
Last 6933.6953623046775, now 6945.723628906245
Last 6945.723628906245, now 6993.53531933594
Last 6993.53531933594, now 7007.406858398428
Last 7007.406858398428, now 6998.470733398436
Last 6998.470733398436, now 6976.413536132812
Last 6976.413536132812, now 6973.9939589843725
Last 6973.9939589843725, now 6996.419157226566
Last 6996.419157226566, now 6976.067498046868
Last 6976.067498046868, now 6974.14161523437
Last 6974.14161523437, now 6959.556630859373
Last 6959.556630859373, now 6988.414454101561
Last 6988.414454101561, now 7004.964581054689
Last 7004.964581054689, now 6943.188707031254
Last 6943.188707031254, now 6983.930533203121
