
Press enter to stop benchmark
Last 9780.01756347657, now 10848.101478515617
Last 14455.050686523457, now 13820.470516601583
Last 10848.101478515617, now 13538.314363281259
Last 13820.470516601583, now 14837.19144921876
Last 13538.314363281259, now 12293.030888671869
Last 14837.19144921876, now 15297.590247070328
Last 12293.030888671869, now 12558.28114746094
Last 15297.590247070328, now 13841.106800781237
Last 12558.28114746094, now 13655.829246093765
Last 13841.106800781237, now 13939.992052734371
Last 13655.829246093765, now 13619.75429980469
Last 13619.75429980469, now 13653.412555664037
Last 13939.992052734371, now 13872.07037109376
Last 13653.412555664037, now 13764.434714843776
Last 13872.07037109376, now 13649.780041992193
Last 13764.434714843776, now 13705.284050781223
Last 13649.780041992193, now 13720.924470703134
Last 13720.924470703134, now 13653.415403320285
Last 13705.284050781223, now 13772.085791015636
Last 13653.415403320285, now 13618.849313476583
Last 13772.085791015636, now 13860.592208984384
Last 13618.849313476583, now 13736.417266601558
Last 13860.592208984384, now 13759.372463867183
Last 13759.372463867183, now 13065.39630468749
Last 13736.417266601558, now 14675.953667968752
Last 13065.39630468749, now 12002.178616210938
Last 14675.953667968752, now 16123.073464843754
Last 12002.178616210938, now 12049.690184570329
Last 16123.073464843754, now 16156.203161132815
Last 12049.690184570329, now 11962.05614648436
Last 11962.05614648436, now 12039.642386718773
Last 16156.203161132815, now 16211.20088085938
Last 12039.642386718773, now 12056.41971191407
Last 16211.20088085938, now 15952.449469726562
Last 15952.449469726562, now 10412.525680664057
Last 10412.525680664057, now 6976.534066406254
Last 6976.534066406254, now 6968.329724609379
Last 6968.329724609379, now 6967.2018388671895
Last 6967.2018388671895, now 6974.794498046878
Last 6974.794498046878, now 6985.861291992186
Last 12056.41971191407, now 51905.578449218774
Last 6985.861291992186, now 6972.421272460931
Last 6972.421272460931, now 6974.210604492186
Last 6974.210604492186, now 6983.326866210935
Last 6983.326866210935, now 6992.83349902344
Last 6992.83349902344, now 7158.008734375002
Last 7158.008734375002, now 7148.880833984372
Last 7148.880833984372, now 7021.902296874996
Last 7021.902296874996, now 6981.835366210935
Last 6981.835366210935, now 7018.784302734377
Last 7018.784302734377, now 6977.891459960942
Last 6977.891459960942, now 7110.819031249998
Last 7110.819031249998, now 7159.307650390631
Last 7159.307650390631, now 7078.4097500000025
Last 7078.4097500000025, now 6966.006375976572
Last 6966.006375976572, now 7071.206760742191
