
Press enter to stop benchmark
Last 8085.947291015621, now 8669.990675781255
Last 8669.990675781255, now 9612.635752929704
Last 9612.635752929704, now 9532.239716796881
Last 9532.239716796881, now 10412.490638671867
Last 10412.490638671867, now 10981.165509765626
Last 10981.165509765626, now 10921.98198437498
Last 10921.98198437498, now 10418.523994140629
Last 10418.523994140629, now 10383.314582031251
Last 10383.314582031251, now 10426.63343457032
Last 10426.63343457032, now 10420.79336328126
Last 10420.79336328126, now 10427.89093554687
Last 10427.89093554687, now 10419.576583007818
Last 10419.576583007818, now 10420.645888671874
Last 10420.645888671874, now 10417.23802148438
Last 10417.23802148438, now 10421.757231445321
Last 10421.757231445321, now 10414.612181640621
Last 10414.612181640621, now 10413.998030273444
Last 10413.998030273444, now 10417.26826464843
Last 10417.26826464843, now 10418.055456054692
Last 10418.055456054692, now 10414.167784179688
Last 10414.167784179688, now 10419.896125000001
Last 10419.896125000001, now 10411.2835
Last 10411.2835, now 10417.878686523427
Last 10417.878686523427, now 10418.895404296862
Last 10418.895404296862, now 10418.44221484373
Last 10418.44221484373, now 10427.985775390624
Last 10427.985775390624, now 10432.111271484371
Last 10432.111271484371, now 10436.219775390622
Last 10436.219775390622, now 10427.014915039057
Last 10427.014915039057, now 10434.005301757797
Last 10434.005301757797, now 10438.82636523439
Last 10438.82636523439, now 10438.447805664047
Last 10438.447805664047, now 10447.521622070322
Last 10447.521622070322, now 10453.615766601566
Last 10453.615766601566, now 10450.88801171875
Last 10450.88801171875, now 10449.778997070314
Last 10449.778997070314, now 10450.553947265616
Last 10450.553947265616, now 10453.004454101563
Last 10453.004454101563, now 10450.197479492184
Last 10450.197479492184, now 10450.935451171865
Last 10450.935451171865, now 10455.473722656257
Last 10455.473722656257, now 10460.361435546858
Last 10460.361435546858, now 10455.385699218743
Last 10455.385699218743, now 10463.997116210929
Last 10463.997116210929, now 10451.855246093759
Last 10451.855246093759, now 10461.27799316405
Last 10461.27799316405, now 10456.371485351563
Last 10456.371485351563, now 10460.744880859387
Last 10460.744880859387, now 10464.93625097657
Last 10464.93625097657, now 10457.69651855468
Last 10457.69651855468, now 10452.641491210934
Last 10452.641491210934, now 10455.154598632818
Last 10455.154598632818, now 10453.212672851572
Last 10453.212672851572, now 10459.498561523433
Last 10459.498561523433, now 10447.682427734377
Last 10447.682427734377, now 10448.235729492195
Last 10448.235729492195, now 10455.997641601567
Last 10455.997641601567, now 10451.02471093749
Last 10451.02471093749, now 10456.510858398435
Last 10456.510858398435, now 10460.191127929686
Last 10460.191127929686, now 10459.120140624995
Last 10459.120140624995, now 10457.862405273436
Last 10457.862405273436, now 10459.513905273428
Last 10459.513905273428, now 10453.197079101566
Last 10453.197079101566, now 10459.470583007813
Last 10459.470583007813, now 10451.078343749989
Last 10451.078343749989, now 10458.59717480467
Last 10458.59717480467, now 10460.085626953132
Last 10460.085626953132, now 10469.652643554682
Last 10469.652643554682, now 10456.09919042969
Last 10456.09919042969, now 10447.200302734384
Last 10447.200302734384, now 10446.55378710939
Last 10446.55378710939, now 10452.401916015626
Last 10452.401916015626, now 10442.48909082031
Last 10442.48909082031, now 10442.90858593749
Last 10442.90858593749, now 10437.12962402343
Last 10437.12962402343, now 10440.493073242178
Last 10440.493073242178, now 10430.592384765636
Last 10430.592384765636, now 10430.554381835947
Last 10430.554381835947, now 10769.514177734387
Last 10769.514177734387, now 10431.843107421864
Last 10431.843107421864, now 10432.948838867187
Last 10432.948838867187, now 10436.077652343758
Last 10436.077652343758, now 10440.097102539059
Last 10440.097102539059, now 10432.492199218763
Last 10432.492199218763, now 10436.253176757813
Last 10436.253176757813, now 10437.267377929684
Last 10437.267377929684, now 10438.094761718756
Last 10438.094761718756, now 10436.724633789063
Last 10436.724633789063, now 10438.53353906251
Last 10438.53353906251, now 10437.087302734379
Last 10437.087302734379, now 10439.624695312517
Last 10439.624695312517, now 10436.994138671862
Last 10436.994138671862, now 10428.541229492166
Last 10428.541229492166, now 10434.882150390627
Last 10434.882150390627, now 10433.786247070311
Last 10433.786247070311, now 10432.242700195322
Last 10432.242700195322, now 10427.474765625
Last 10427.474765625, now 10427.105408203128
Last 10427.105408203128, now 10440.586353515617
Last 10440.586353515617, now 10430.548164062508
Last 10430.548164062508, now 10425.842833007826
Last 10425.842833007826, now 10472.656051757835
Last 10472.656051757835, now 10651.748497070299
Last 10651.748497070299, now 10439.375339843738
Last 10439.375339843738, now 10444.23622558595
Last 10444.23622558595, now 10450.89397265626
Last 10450.89397265626, now 10442.062243164075
Last 10442.062243164075, now 10444.429226562492
Last 10444.429226562492, now 10446.91635253907
Last 10446.91635253907, now 10484.476363281241


Retired 1887666176 objects in 1198.54
Initial average:
  1575005.0 retire/sec
  634.9 ns / retire
Removed 48611 outliers, 42.2%
Adjusted average:
  1589679.3 retire/sec
  629.1 ns / retire
