
Press enter to stop benchmark
Last 8555.946775390608, now 8415.396225585946
Last 8415.396225585946, now 8582.704205078126
Last 8582.704205078126, now 8561.858000976566
Last 8561.858000976566, now 8524.962737304697
Last 8524.962737304697, now 8523.000047851569
Last 8523.000047851569, now 8527.23694921875
Last 8527.23694921875, now 8534.615651367194
Last 8534.615651367194, now 8495.872190429684
Last 8495.872190429684, now 8502.531507812506
Last 8502.531507812506, now 8517.753637695323
Last 8517.753637695323, now 8529.678062499996
Last 8529.678062499996, now 8509.821941406239
Last 8509.821941406239, now 8523.76071582032
Last 8523.76071582032, now 8525.825783203127
Last 8525.825783203127, now 8523.509398437496
Last 8523.509398437496, now 8542.806247070308
Last 8542.806247070308, now 8550.979085937495
Last 8550.979085937495, now 8563.62143945312
Last 8563.62143945312, now 8567.707980468755
Last 8567.707980468755, now 8584.939042968741
Last 8584.939042968741, now 8685.73767675782
Last 8685.73767675782, now 8645.382961914054
Last 8645.382961914054, now 8701.630804687504
Last 8701.630804687504, now 8634.171016601556
Last 8634.171016601556, now 8617.456552734375
Last 8617.456552734375, now 8616.448348632817
Last 8616.448348632817, now 8606.087408203113
Last 8606.087408203113, now 8618.189234375
Last 8618.189234375, now 8616.129386718734
Last 8616.129386718734, now 8622.044433593752
Last 8622.044433593752, now 8613.513190429681
Last 8613.513190429681, now 8632.13223828125
Last 8632.13223828125, now 8616.241835937497
Last 8616.241835937497, now 8612.069297851562
Last 8612.069297851562, now 8617.30892089843
Last 8617.30892089843, now 8606.116804687505
Last 8606.116804687505, now 8616.297797851554
Last 8616.297797851554, now 8614.135211914065
Last 8614.135211914065, now 8616.681903320317
Last 8616.681903320317, now 8619.066991210937
Last 8619.066991210937, now 8057.814896484365
Last 8057.814896484365, now 7960.715143554685
Last 7960.715143554685, now 7957.962063476558
Last 7957.962063476558, now 7957.243323242189
Last 7957.243323242189, now 7961.565404296879
Last 7961.565404296879, now 7958.961168945309
Last 7958.961168945309, now 7970.244192382808
Last 7970.244192382808, now 7966.9985624999945
Last 7966.9985624999945, now 7973.622015625005
Last 7973.622015625005, now 7972.274606445319
Last 7972.274606445319, now 7976.438124023438
Last 7976.438124023438, now 7973.964405273437
Last 7973.964405273437, now 7973.144668945321
Last 7973.144668945321, now 7972.571678710938
Last 7972.571678710938, now 7976.05216894531
Last 7976.05216894531, now 7978.135025390626
Last 7978.135025390626, now 7974.41966699219
Last 7974.41966699219, now 7976.587422851555
Last 7976.587422851555, now 7973.061208984359
Last 7973.061208984359, now 7979.730146484378
Last 7979.730146484378, now 7978.096447265628
Last 7978.096447265628, now 7980.455789062492
Last 7980.455789062492, now 7981.6569384765635
Last 7981.6569384765635, now 8059.839771484373
Last 8059.839771484373, now 8654.780057617189
Last 8654.780057617189, now 8653.906292968752
Last 8653.906292968752, now 8653.935319335944
Last 8653.935319335944, now 8654.242608398421
Last 8654.242608398421, now 8663.350478515616
Last 8663.350478515616, now 8652.987426757805
Last 8652.987426757805, now 8656.402958984367
Last 8656.402958984367, now 8665.382817382811
Last 8665.382817382811, now 8660.81607031251
Last 8660.81607031251, now 8667.751622070306
Last 8667.751622070306, now 8665.406265624997
Last 8665.406265624997, now 8666.640728515622
Last 8666.640728515622, now 8673.788219726568
Last 8673.788219726568, now 8666.409896484378
Last 8666.409896484378, now 8662.452332031251
Last 8662.452332031251, now 8661.053444335943
Last 8661.053444335943, now 8666.208806640632
Last 8666.208806640632, now 8661.488320312512
Last 8661.488320312512, now 8661.730394531256
Last 8661.730394531256, now 8666.666259765616
Last 8666.666259765616, now 8665.559311523426
Last 8665.559311523426, now 8673.714031249994
Last 8673.714031249994, now 8665.130201171874
Last 8665.130201171874, now 8676.156759765636
Last 8676.156759765636, now 8668.225171874996
Last 8668.225171874996, now 8661.031478515624
Last 8661.031478515624, now 8668.360609375002
Last 8668.360609375002, now 8662.613970703129
Last 8662.613970703129, now 8667.584091796869
Last 8667.584091796869, now 8656.901561523424
Last 8656.901561523424, now 8666.911893554692
Last 8666.911893554692, now 8667.819046874994
Last 8667.819046874994, now 8667.55758984375
Last 8667.55758984375, now 8675.13706640624
Last 8675.13706640624, now 8727.609008789068
Last 8727.609008789068, now 8676.821301757815
Last 8676.821301757815, now 8672.405289062497
Last 8672.405289062497, now 8682.297938476557
Last 8682.297938476557, now 8675.652329101562
Last 8675.652329101562, now 8673.045480468742
Last 8673.045480468742, now 8676.388109374997
Last 8676.388109374997, now 8669.77978125
Last 8669.77978125, now 8677.708984375011
Last 8677.708984375011, now 8680.719330078136
Last 8680.719330078136, now 8675.071059570308
Last 8675.071059570308, now 8672.733825195308
Last 8672.733825195308, now 8662.250260742194
Last 8662.250260742194, now 8663.799778320321
