
Press enter to stop benchmark
Last 7753.731818359365, now 8265.037725585948
Last 8265.037725585948, now 8673.593077148433
Last 8673.593077148433, now 9295.898933593759
Last 9295.898933593759, now 10296.4206796875
Last 10296.4206796875, now 10242.394550781242
Last 10242.394550781242, now 10222.582194335939
Last 10222.582194335939, now 10211.302896484365
Last 10211.302896484365, now 10221.521408203123
Last 10221.521408203123, now 10230.19721875
Last 10230.19721875, now 10219.888457031248
Last 10219.888457031248, now 10216.49262207032
Last 10216.49262207032, now 10217.944365234374
Last 10217.944365234374, now 10215.10844921875
Last 10215.10844921875, now 10218.619875000006
Last 10218.619875000006, now 10225.353112304676
Last 10225.353112304676, now 10229.092752929695
Last 10229.092752929695, now 10227.202526367199
Last 10227.202526367199, now 10225.273433593764
Last 10225.273433593764, now 10224.570594726556
Last 10224.570594726556, now 10224.54989453126
Last 10224.54989453126, now 10226.44772167968
Last 10226.44772167968, now 10240.046124023424
Last 10240.046124023424, now 10243.493597656246
Last 10243.493597656246, now 10242.298720703124
Last 10242.298720703124, now 10250.175893554679
Last 10250.175893554679, now 10261.305291992185
Last 10261.305291992185, now 10253.776350585938
Last 10253.776350585938, now 10256.501393554698
Last 10256.501393554698, now 10262.384074218737
Last 10262.384074218737, now 10267.16051171874
Last 10267.16051171874, now 10258.085659179675
Last 10258.085659179675, now 10293.033208007804
Last 10293.033208007804, now 10285.452524414055
Last 10285.452524414055, now 10293.974546874993
Last 10293.974546874993, now 10262.249009765628
Last 10262.249009765628, now 10264.88262304688
Last 10264.88262304688, now 10266.698298828123
Last 10266.698298828123, now 10255.978749023436
Last 10255.978749023436, now 10261.603887695304
Last 10261.603887695304, now 10311.585520507813
Last 10311.585520507813, now 10265.603583984377
Last 10265.603583984377, now 10266.137005859378
Last 10266.137005859378, now 10260.140642578122
Last 10260.140642578122, now 10265.984438476562
Last 10265.984438476562, now 10259.47520214842
Last 10259.47520214842, now 10265.266153320297
Last 10265.266153320297, now 10262.152323242193
Last 10262.152323242193, now 10269.775692382804
Last 10269.775692382804, now 10268.023845703112
Last 10268.023845703112, now 10265.088103515618
Last 10265.088103515618, now 10272.2301640625
Last 10272.2301640625, now 10275.906094726579
Last 10275.906094726579, now 10275.134858398433
Last 10275.134858398433, now 10272.810559570311
Last 10272.810559570311, now 10264.273399414056
Last 10264.273399414056, now 10281.620910156249
Last 10281.620910156249, now 10274.32764062498
Last 10274.32764062498, now 10274.726687499991
Last 10274.726687499991, now 10282.103642578122
Last 10282.103642578122, now 10279.78372851563
Last 10279.78372851563, now 10278.311207031245
Last 10278.311207031245, now 10366.578179687482
Last 10366.578179687482, now 10316.831936523433
Last 10316.831936523433, now 10305.381488281237
Last 10305.381488281237, now 10297.898916015627
Last 10297.898916015627, now 10314.26396289062
Last 10314.26396289062, now 10375.401213867177
Last 10375.401213867177, now 10300.296167968741
Last 10300.296167968741, now 10305.472739257813
Last 10305.472739257813, now 10303.270435546878
Last 10303.270435546878, now 10298.770236328122
Last 10298.770236328122, now 10299.123079101557
Last 10299.123079101557, now 10291.013123046874
Last 10291.013123046874, now 10295.592815429678
Last 10295.592815429678, now 10295.525878906268
Last 10295.525878906268, now 10293.673677734374
Last 10293.673677734374, now 10298.180009765632
Last 10298.180009765632, now 10297.379499023442
Last 10297.379499023442, now 10296.054870117185
Last 10296.054870117185, now 10296.07614453126
Last 10296.07614453126, now 10295.74128613282
Last 10295.74128613282, now 10300.89087304688
Last 10300.89087304688, now 10296.296489257811
Last 10296.296489257811, now 10305.595332031236
Last 10305.595332031236, now 10306.102666015622
Last 10306.102666015622, now 10342.930025390626
Last 10342.930025390626, now 10386.130630859372
Last 10386.130630859372, now 10300.831899414066
Last 10300.831899414066, now 10379.51277832032
Last 10379.51277832032, now 10397.497182617188
Last 10397.497182617188, now 10300.587121093762
Last 10300.587121093762, now 10294.338160156249
Last 10294.338160156249, now 10299.396325195308
Last 10299.396325195308, now 10292.042975585924
Last 10292.042975585924, now 10291.927552734373
Last 10291.927552734373, now 10304.606369140633
Last 10304.606369140633, now 10333.8849765625
Last 10333.8849765625, now 10300.959402343733
Last 10300.959402343733, now 10310.898690429703
Last 10310.898690429703, now 10299.830349609383
Last 10299.830349609383, now 10391.217526367182
Last 10391.217526367182, now 10303.175636718754
Last 10303.175636718754, now 10315.336264648453
Last 10315.336264648453, now 10313.725967773442
Last 10313.725967773442, now 10302.180236328115
Last 10302.180236328115, now 10304.316322265639
Last 10304.316322265639, now 10308.457625976567
Last 10308.457625976567, now 10394.474859374996
Last 10394.474859374996, now 10424.66155078124
Last 10424.66155078124, now 11094.739083984392
Last 11094.739083984392, now 10402.402250976575
Last 10402.402250976575, now 10401.040930664058
Last 10401.040930664058, now 10394.353106445315
Last 10394.353106445315, now 10387.366311523449
Last 10387.366311523449, now 10411.815288085938


Retired 1948336128 objects in 1217.03
Initial average:
  1600923.9 retire/sec
  624.6 ns / retire
Removed 43439 outliers, 36.5%
Adjusted average:
  1610020.0 retire/sec
  621.1 ns / retire
